,fc81_acr,synaptome_acr,synaptome_idx,ontology,region_id,x,y,z,SNR
122,CA,"['CA1slm', 'CA1so', 'CA1sp', 'CA1sr', 'CA2slm', 'CA2so', 'CA2sp', 'CA2sr', 'CA3slm', 'CA3slu', 'CA3so', 'CA3sp', 'CA3sr']","[[457, 509], [459, 511], [461, 513], [463, 515], [465, 517], [467], [469], [471], [473, 519], [475, 521], [477, 522], [479, 524], [481, 526]]",390.0,375.0,7910.0,3340.0,9010.0,44.66616745
123,DG,"['DG-mo', 'DG-po', 'DG-sg']","[[483, 485, 487, 528, 530, 532], [489, 491, 534, 536], [493, 495, 497, 538, 540, 542]]",407.0,726.0,8160.0,3070.0,8610.0,40.39574578
124,IG,['IG'],[[451]],425.0,19.0,4820.0,2920.0,6370.0,48.73189375
125,ENT,"['ENTl1', 'ENTl2/3', 'ENTl4', 'ENTl5', 'ENTl6a']","[[], [501], [503], [505], [507]]",427.0,909.0,9310.0,4570.0,10310.0,31.0499048
126,PAR,[],[],457.0,843.0,9750.0,3560.0,9190.0,36.28007277
127,POST,[],[],461.0,1037.0,9170.0,2180.0,8400.0,48.90343606
128,PRE,[],[],465.0,1084.0,9330.0,3600.0,9060.0,39.0497112
129,SUB,"['SUBd-m', 'SUBd-sp', 'SUBd-sr']","[[544], [546], [548]]",469.0,502.0,9100.0,3050.0,9180.0,43.94733125
130,ProS,[],[],,,,,,50.14648086
131,HATA,[],[],,,,,,23.17886009
132,CLA,['CLA'],[[552]],480.0,583.0,4550.0,4770.0,9250.0,40.03069582
133,EP,"['EPd', 'EPv']","[[550, 554, 564], [566, 576]]",481.0,942.0,6060.0,5680.0,9620.0,29.58678896
134,LA,['LA'],[[568]],484.0,131.0,7270.0,5230.0,9910.0,28.97130395
135,BLA,"['BLAa', 'BLAp', 'BLAv']","[[556], [558, 572], [560]]",485.0,295.0,7210.0,6030.0,9600.0,24.86704015
136,BMA,['BMAp'],"[[562, 574]]",489.0,319.0,7000.0,6380.0,9140.0,20.43251693
137,PA,['PA'],"[[570, 578]]",492.0,780.0,7940.0,6220.0,8880.0,15.82282114
138,STRd,[],[],495.0,485.0,5340.0,4210.0,8650.0,41.25042132
139,STRv,[],[],497.0,493.0,4360.0,6310.0,7730.0,27.31310277
140,LSX,[],[],507.0,275.0,4920.0,4040.0,6760.0,43.60353057
141,sAMY,[],[],514.0,278.0,6610.0,6150.0,8610.0,28.18622729
142,PALd,[],[],531.0,818.0,6230.0,4870.0,8520.0,34.44213512
143,PALv,[],[],534.0,835.0,5040.0,6290.0,7840.0,29.11558453
144,PALc,[],[],542.0,809.0,5360.0,5180.0,7210.0,34.68261193
145,VENT,[],[],565.0,637.0,6960.0,4390.0,7800.0,35.28978114
146,SPF,"['SPFm', 'SPFp']","[[638], [658]]",573.0,406.0,7790.0,4520.0,7280.0,
147,GENd,[],[],578.0,1008.0,7940.0,3520.0,8580.0,37.51470095
148,LAT,[],[],585.0,138.0,7470.0,3500.0,7810.0,37.91769689
149,MED,[],[],599.0,444.0,6750.0,4180.0,6720.0,39.61511659
150,MTN,[],[],607.0,571.0,6120.0,4460.0,6510.0,44.0249389
151,ILM,[],[],611.0,51.0,7190.0,4080.0,7100.0,36.428837
152,RT,['RT'],[[636]],617.0,262.0,6340.0,4340.0,8270.0,35.58632868
153,GENv,[],[],618.0,1014.0,7670.0,3940.0,8930.0,34.744293
154,EPI,[],[],624.0,958.0,6930.0,3130.0,6660.0,49.57866896
155,PVZ,[],[],629.0,157.0,6580.0,6450.0,6400.0,32.36791716
156,PVR,[],[],647.0,141.0,5830.0,6280.0,6540.0,31.54199041
157,MEZ,[],[],,,,,,29.85743807
158,LZ,[],[],701.0,290.0,6810.0,5750.0,7570.0,28.89690943
159,MBsen,[],[],714.0,339.0,10040.0,2010.0,7460.0,41.80734068
160,MBmot,['MBmot'],[[685]],727.0,323.0,8970.0,3370.0,7200.0,37.47135197
161,MBsta,[],[],765.0,348.0,9420.0,4490.0,7210.0,29.80170053
